
Cidade: 78859, Zona: 0008, Seção: 0021
4,Votos nominais,241
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,13
8,Total Apurado,265

Cidade: 78859, Zona: 0008, Seção: 0106
,Candidato,Votacao
0,13 WILSON CABELO,12
1,44 GERALDO MENDES,92
2,55 NINA SINGER,134
3,Eleitores Aptos,351
4,Votos nominais,238
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,18
8,Total Apurado,268

Cidade: 78859, Zona: 0008, Seção: 0107
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,71
2,55 NINA SINGER,144
3,Eleitores Aptos,357
4,Votos nominais,225
5,Votos de legenda,0
6,Votos em branco,16
7,Votos Nulos,25
8,Total Apurado,266

Cidade: 78859, Zona: 0008, Seção: 0108
,Candidato,Votacao
0,13 WILSON CABELO,7
1,44 GERALDO MENDES,75
2,55 NINA SINGER,174
3,Eleitores Aptos,350
4,Votos nominais,256
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,8
8,Total Apurado,274

Cidade: 78859, Zona: 0008, Seção: 0109
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,85
2,55 NINA SINGER,135
3,Eleitores Aptos,356
4,Votos nominais,231
5,Votos de legenda,0
6,Votos em branco,8
7,Votos Nulos,21
8,Total Apurado,260

Cidade: 78859, Zona: 0008, Seção: 0110
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,44
2,55 NINA SINGER,150
3,Eleitores Aptos,335
4,Votos nominais,207
5,Votos de legenda,0
6,Votos em branco,6
7,Votos Nulos,20
8,Total Apurado,233

Cidade: 78859, Zona: 0008, Seção: 0111
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,83
2,55 NINA SINGER,134
3,Eleitores Aptos,342
4,Votos nominais,227
5,Votos de legenda,0
6,Votos em branco,13
7,Votos Nulos,21
8,Total Apurado,261

Cidade: 78859, Zona: 0008, Seção: 0112
,Candidato,Votacao
0,13 WILSON CABELO,14
1,44 GERALDO MENDES,70
2,55 NINA SINGER,134
3,Eleitores Aptos,342
4,Votos nominais,218
5,Votos de legenda,0
6,Votos em branco,13
7,Votos Nulos,16
8,Total Apurado,247

Cidade: 78859, Zona: 0008, Seção: 0113
,Candidato,Votacao
0,13 WILSON CABELO,4
1,44 GERALDO MENDES,67
2,55 NINA SINGER,145
3,Eleitores Aptos,323
4,Votos nominais,216
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,13
8,Total Apurado,241

Cidade: 78859, Zona: 0008, Seção: 0114
,Candidato,Votacao
0,13 WILSON CABELO,12
1,44 GERALDO MENDES,51
2,55 NINA SINGER,159
3,Eleitores Aptos,324
4,Votos nominais,222
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,17
8,Total Apurado,250

Cidade: 78859, Zona: 0008, Seção: 0115
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,63
2,55 NINA SINGER,155
3,Eleitores Aptos,322
4,Votos nominais,226
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,11
8,Total Apurado,249

Cidade: 78859, Zona: 0008, Seção: 0116
,Candidato,Votacao
0,13 WILSON CABELO,17
1,44 GERALDO MENDES,77
2,55 NINA SINGER,154
3,Eleitores Aptos,403
4,Votos nominais,248
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,11
8,Total Apurado,269

Cidade: 78859, Zona: 0008, Seção: 0117
,Candidato,Votacao
0,13 WILSON CABELO,9
1,44 GERALDO MENDES,60
2,55 NINA SINGER,110
3,Eleitores Aptos,391
4,Votos nominais,179
5,Votos de legenda,0
6,Votos em branco,16
7,Votos Nulos,9
8,Total Apurado,204

Cidade: 78859, Zona: 0008, Seção: 0119
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,93
2,55 NINA SINGER,135
3,Eleitores Aptos,377
4,Votos nominais,241
5,Votos de legenda,0
6,Votos em branco,15
7,Votos Nulos,20
8,Total Apurado,276

Cidade: 78859, Zona: 0008, Seção: 0120
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,73
2,55 NINA SINGER,142
3,Eleitores Aptos,317
4,Votos nominais,225
5,Votos de legenda,0
6,Votos em branco,9
7,Votos Nulos,19
8,Total Apurado,253

Cidade: 78859, Zona: 0008, Seção: 0121
,Candidato,Votacao
0,13 WILSON CABELO,5
1,44 GERALDO MENDES,74
2,55 NINA SINGER,138
3,Eleitores Aptos,314
4,Votos nominais,217
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,18
8,Total Apurado,242

Cidade: 78859, Zona: 0008, Seção: 0122
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,66
2,55 NINA SINGER,140
3,Eleitores Aptos,317
4,Votos nominais,214
5,Votos de legenda,0
6,Votos em branco,15
7,Votos Nulos,15
8,Total Apurado,244

Cidade: 78859, Zona: 0008, Seção: 0123
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,53
2,55 NINA SINGER,151
3,Eleitores Aptos,315
4,Votos nominais,217
5,Votos de legenda,0
6,Votos em branco,4
7,Votos Nulos,10
8,Total Apurado,231

Cidade: 78859, Zona: 0008, Seção: 0124
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,62
2,55 NINA SINGER,148
3,Eleitores Aptos,319
4,Votos nominais,218
5,Votos de legenda,0
6,Votos em branco,13
7,Votos Nulos,12
8,Total Apurado,243

Cidade: 78859, Zona: 0008, Seção: 0125
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,91
2,55 NINA SINGER,125
3,Eleitores Aptos,339
4,Votos nominais,224
5,Votos de legenda,0
6,Votos em branco,18
7,Votos Nulos,23
8,Total Apurado,265

Cidade: 78859, Zona: 0008, Seção: 0126
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,94
2,55 NINA SINGER,140
3,Eleitores Aptos,341
4,Votos nominais,245
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,12
8,Total Apurado,267

Cidade: 78859, Zona: 0008, Seção: 0127
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,90
